"Artist" "Track" "Album" "danceability" "energy" "loudness" "speechiness" "acousticness" "instrumentalness" "liveness" "tempo" "length" "time_signature" "A" "B" "C" "D" "AnB" "AnC" "AnD" "BnC" "BnD" "CnD" "AnBnC" "AnBnD" "AnCnD" "BnCnD" "AnBnCnD"
"3403" "Degiheugi" "Finalement" "Dancing Chords and Fireflies" 0.639 0.763 -8.642 0.0455 0.0236 0.845 0.063 90.048 161027 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3404" "ABBA" "I Still Have Faith In You" "Mega Hits Pride 2022" 0.207 0.363 -7.296 0.0306 0.418 5.24e-06 0.128 74.278 310720 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3405" "Plested" "Habits" "Queen Of The Clouds" 0.733 0.65 -3.539 0.0315 0.0703 6.59e-05 0.0829 110.003 209160 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3406" "Guantanamo Bay Surf Club" "Escargot Blues" "Guantanamo Bay Surf Club" 0.773 0.292 -13.62 0.0412 0.868 0.0919 0.104 111.038 250500 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3407" "Ben Mazué" "J'arrive" "La Femme Idéale" 0.717 0.361 -9.632 0.054 0.514 0 0.0766 136.088 192987 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"3408" "Atmosphere" "Sound Is Vibration" "Overcast!" 0.779 0.712 -9.162 0.357 0.0315 0 0.353 88.042 237200 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3409" "NoMBe" "Summer's Gone" "They Might've Even Loved Me" 0.599 0.585 -10.076 0.0554 0.108 0.000982 0.121 145.933 213699 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3410" "DREAMERS" "Painkiller" "This Album Does Not Exist" 0.398 0.92 -3.267 0.0491 0.00311 0.000531 0.108 200.131 202627 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3411" "Eurythmics" "Sweet Dreams (Are Made of This) - Remastered" "Sweet Dreams (Are Made Of This)" 0.692 0.711 -7.498 0.0317 0.225 0 0.12 125.135 216933 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3412" "Linkin Park" "Bleed It Out" "Minutes to Midnight" 0.529 0.967 -3.647 0.0508 0.114 0 0.61 140.127 166373 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3413" "La Femme" "Nouvelle-Orléans - Live" "Levitation Sessions (Live)" 0.686 0.889 -5.566 0.163 0.0801 0.00196 0.111 114.266 421889 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3414" "My Morning Jacket" "Tyrone" "Chapter 2: Learning: Early Recordings, B-Sides, Covers, Y Mas" 0.6 0.409 -10.353 0.0411 0.125 0.00483 0.161 131.397 312533 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3415" "VARLEY" "Roamer" "Roamer" 0.351 0.271 -10.518 0.0342 0.786 0.00435 0.206 80.129 236495 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3416" "Tom Odell" "Another Love" "The Another Love EP" 0.442 0.543 -8.557 0.0419 0.73 1.68e-05 0.109 119.254 246040 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3417" "Erik Satie" "Messe des pauvres (Arr. A. Simonetto for Piano): VI. Prière pour les voyageurs et les marins en danger de mort" "Satie: Esoteric Works, Vol. 2 – Vexations, Uspud, Messe des pauvres" 0.758 0.0804 -15.163 0.184 0.956 0.974 0.0842 70.225 47880 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3418" "Gracie Abrams" "Feels Like" "This Is What It Feels Like" 0.617 0.483 -7.359 0.0458 0.702 0.000216 0.121 144.99 152318 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3419" "Childish Gambino" "Sober" "Kauai" 0.707 0.562 -7.621 0.0305 0.124 1.58e-05 0.561 98.094 252026 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3420" "Angel Olsen" "Some things Cosmic" "Strange Cacti" 0.214 0.182 -13.538 0.0368 0.919 0.00465 0.113 143.171 174867 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3421" "The Brother Brothers" "On The Road Again" "On The Road Again" 0.619 0.454 -11.243 0.0301 0.718 0.0162 0.0774 104.329 173969 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3422" "John Vincent III" "Next to You" "Songs from the Valley" 0.443 0.419 -7.975 0.0321 0.633 0.00183 0.404 132.204 256520 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3423" "flora cash" "holy ghost and hallelujah" "our generation" 0.518 0.471 -8.834 0.0258 0.721 2.83e-05 0.349 90.097 217500 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3424" "Logan and Isabel" "Worn in Well" "Worn in Well" 0.309 0.0626 -22.892 0.0449 0.966 0.0175 0.368 95.269 218571 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3425" "Rachel Grimes" "Earthly Heaven" "Marion County 1938" 0.316 0.169 -14.053 0.0366 0.956 0.918 0.108 125.452 394852 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3426" "Vanille" "Si je pleure" "Soleil '96" 0.584 0.593 -6.657 0.0263 0.0858 0.27 0.0765 121 225480 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3427" "Matt Hartke" "London's Song" "London's Song" 0.562 0.266 -14.852 0.0409 0.928 0.000626 0.0983 88.968 178573 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3428" "Prince of Spain" "Explore" "Youth is Only Ever Fun in Retrospect" 0.509 0.84 -5.178 0.0546 0.176 0.00654 0.0855 133.532 245120 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3429" "Creedence Clearwater Revival" "Molina" "Pendulum (Expanded Edition)" 0.804 0.718 -7.559 0.0622 0.405 0.000549 0.332 138.779 162600 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3430" "John Mayer" "Waiting On the World to Change" "Continuum" 0.578 0.756 -5.82 0.115 0.157 0.000232 0.249 176.739 201173 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3431" "The Hitchhikers" "Mr Fortune featuring The Mighty Pope" "Canada's Message To The Meters" 0.77 0.842 -10.814 0.163 0.414 0.000136 0.121 121.53 163667 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3432" "Stavroz" "Bleached Flamingo" "Bleached Flamingo EP" 0.652 0.347 -12.441 0.0435 0.7 0.849 0.136 161.014 272982 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3433" "Trailerpark" "Sterben kannst du überall" "TP4L" 0.583 0.858 -3.672 0.174 0.21 0 0.348 75.517 247267 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3434" "B.Alone" "Time is Love" "Beautiful" 0.786 0.44 -9.575 0.0441 0.00306 0.28 0.0588 114.971 240480 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3435" "Skrillex" "HUMBLE. - SKRILLEX REMIX" "HUMBLE. (SKRILLEX REMIX)" 0.901 0.934 -2.345 0.273 0.00794 7.68e-05 0.194 150.037 156800 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3436" "MAMAMOO" "Egotistic" "RED MOON" 0.616 0.833 -3.314 0.067 0.315 0 0.175 97.898 196018 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3437" "Pop Up!" "Paradise City" "Flavored" 0.696 0.946 -3.148 0.286 0.00252 0.0393 0.306 120.995 189545 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3438" "Post Malone" "Sunflower - Spider-Man: Into the Spider-Verse" "Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)" 0.76 0.479 -5.574 0.0466 0.556 0 0.0703 89.911 158040 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"3439" "Louise Attaque" "Vous avez l'heure - Live à la salle de la Cité, Rennes / Février 1998" "Louise Attaque (25 ans)" 0.471 0.638 -7.639 0.198 0.148 8.06e-06 0.921 126.44 172227 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3440" "Abel Korzeniowski" "Ghost Waltz" "Penny Dreadful: Seasons 2 & 3 (Music From The Showtime Original Series)" 0.148 0.25 -15.961 0.0334 0.906 0.775 0.12 171.567 170893 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3441" "Arctic Monkeys" "Teddy Picker" "Favourite Worst Nightmare" 0.637 0.963 -5.116 0.0882 0.000286 0.000889 0.0449 150.1 165000 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3442" "The Animen" "Modern Nostalgia" "Same Sun / Different Light" 0.62 0.877 -4.583 0.0293 0.0531 0.00044 0.366 138.041 215040 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3443" "Aukai" "Distracted by Clouds" "Branches of Sun" 0.424 0.0418 -26.876 0.0321 0.876 0.886 0.141 105.932 295939 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3444" "Florence + The Machine" "Kiss With A Fist" "Between Two Lungs" 0.4 0.791 -5.346 0.116 0.00287 0.000137 0.0637 106.765 124240 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3445" "Faber" "Top" "A Song For You" 0.379 0.343 -12.993 0.0385 0.806 0 0.0991 184.301 179173 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3446" "MEDUZA" "Tell It To My Heart (feat. Hozier) - Tiësto Remix" "Tell It To My Heart (Tiësto Remix)" 0.632 0.857 -3.659 0.0504 0.00177 0.000154 0.259 127.963 175313 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3447" "Bruno Pernadas" "Ahhhhh" "How Can We Be Joyful in a World Full of Knowledge?" 0.397 0.642 -10.63 0.0831 0.0362 0.608 0.308 179.807 529089 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3448" "Various Artists" "Eye of the Tiger" "Rocky IV" 0.817 0.599 -9.249 0.0328 0.132 0.000311 0.0873 108.873 245640 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3449" "Natália Kelly" "Shine - Redio Ramix" "Zwift Workout" 0.624 0.918 -5.477 0.0655 0.000401 1.04e-05 0.0708 121.962 238147 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3450" "Moby" "Porcelain - Efdemin Remix" "Porcelain (Efdemin Remixes)" 0.591 0.733 -9.624 0.0269 0.0276 0.824 0.104 134.028 347909 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3451" "Bukahara" "Baum" "Canaries in a Coal Mine" 0.646 0.466 -8.556 0.0325 0.392 1.55e-05 0.101 125.074 218947 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3452" "Young the Giant" "Superposition" "Mirror Master" 0.593 0.697 -5.416 0.0399 0.00289 0.0257 0.14 170 230960 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3453" "Elementaries" "Feels Like Flying" "Feels Like Flying" 0.416 0.11 -13.776 0.0423 0.882 0.873 0.116 120.024 198077 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3454" "Marshmello" "Here With Me" "Here With Me" 0.791 0.565 -3.933 0.0439 0.0623 0 0.156 99.961 156347 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3455" "Coast Modern" "Wild Things" "Coast Modern" 0.532 0.587 -8.732 0.0634 0.601 0.00588 0.961 79.03 214667 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3456" "Joaquín Cornejo" "Las Frutas" "Las Frutas" 0.764 0.36 -12.407 0.0413 0.507 0.768 0.13 127.984 294448 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3457" "Bear's Den" "All That You Are" "Blue Hours" 0.544 0.381 -12.168 0.0269 0.615 0.334 0.113 114.049 250760 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3458" "TENDER" "Come Down When You're Ready" "Come Down When You're Ready" 0.408 0.223 -12.816 0.0281 0.568 0.87 0.116 109.135 251668 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3459" "Lo-Fang" "88" "Lemon Boy" 0.377 0.323 -12.249 0.0422 0.845 3.14e-06 0.0688 176.395 215430 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3460" "Del Water Gap" "Ode to a Conversation Stuck in Your Throat" "Del Water Gap" 0.57 0.804 -6.782 0.0701 0.0598 8.96e-05 0.187 87.533 199233 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3461" "James Bay" "Running" "Chaos And The Calm" 0.55 0.261 -12.304 0.0378 0.485 0 0.139 74.096 215986 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3462" "Tycho" "Into The Woods" "Weather" 0.63 0.729 -9.81 0.0327 0.52 0.935 0.0896 99.015 242611 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3463" "Scratch Bandits Crew" "Cali to France" "Tangram Series" 0.644 0.745 -5.685 0.084 0.0453 0 0.0757 91.858 243657 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3464" "Lake Street Dive" "Better Than" "Bad Self Portraits" 0.789 0.283 -11.679 0.0354 0.629 0.0134 0.097 77.576 215880 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3465" "Leoniden" "Blue Hour" "minisode1 : Blue Hour" 0.71 0.82 -4.362 0.0836 0.00962 0 0.0871 112.005 209105 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3466" "Kashmere Stage Band" "Kashmere" "Texas Thunder Soul 1968-1974" 0.698 0.89 -5.519 0.224 0.128 0.571 0.391 110.182 297507 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3467" "Jungle" "Keep Moving" "Loving In Stereo" 0.724 0.603 -6.261 0.0317 0.183 0.000469 0.0948 111.493 240880 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3468" "Pedro Capó" "Calma - Remix" "Calma (Remix)" 0.826 0.773 -4.218 0.0524 0.323 0 0.143 126.899 238200 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3469" "The Notting Hillbillies" "Your Own Sweet Way" "Missing... Presumed Having A Good Time" 0.51 0.176 -19.491 0.0353 0.515 0.684 0.0817 104.292 271706 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3470" "Cocoon" "On My Way" "On My Way" 0.372 0.549 -6.154 0.0524 0.391 0 0.0648 68.506 177600 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3471" "Palace" "I Want What You Got" "Lost in the Night" 0.383 0.393 -9.357 0.0252 0.147 0.00511 0.142 88.127 242430 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3472" "Harrison Storm" "Feeling You" "Feeling You" 0.644 0.501 -9.374 0.0302 0.664 0.164 0.124 103.988 201196 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3473" "Oliver Tree" "Life Goes On" "Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)" 0.7 0.49 -5.187 0.076 0.186 0 0.117 79.982 161803 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3474" "Cassia" "Drifting" "Motions" 0.732 0.617 -7.234 0.038 0.216 3.09e-06 0.161 101.156 223680 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3475" "Matt Duncan" "Beacon" "Beacon" 0.714 0.457 -7.376 0.0392 0.432 0.000176 0.0785 86.004 214373 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3476" "Rise Against" "Intro/Chamber The Cartridge" "Appeal To Reason / Siren Song Of The Counter Culture / The Sufferer & The Witness" 0.26 0.995 -3.938 0.361 0.000427 4.46e-05 0.659 164.48 214906 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3477" "Grady" "kissing girls" "a place we can always go." 0.415 0.456 -7.315 0.106 0.934 0 0.49 181.452 100750 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3478" "The Hunna" "Still Got Blood" "100" 0.449 0.736 -5.355 0.0595 0.0191 0.000147 0.11 140.002 203238 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3479" "Fink" "Looking Too Closely" "Hard Believer" 0.477 0.519 -12.461 0.0358 0.328 0.748 0.0949 175.094 310693 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3480" "Declan Welsh and The Decadent West" "Talking To Myself" "Talking To Myself" 0.406 0.865 -5.826 0.0554 9.09e-05 0.000142 0.267 152.044 217200 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3481" "The Clovers" "Love Potion No. 9 - Remastered / Single Version" "The Best Of The Clovers (Love Potion No. 9)" 0.738 0.451 -12.949 0.146 0.572 0 0.175 128.853 113200 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3482" "The Felice Brothers" "Love Me Tenderly" "The Felice Brothers" 0.588 0.752 -7.121 0.0783 0.735 5.36e-05 0.0574 80.496 220413 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3483" "Keedz" "Stand on the Word (Mima Remix)" "Stand on the Word (Mima Remix) - Single" 0.667 0.844 -5.268 0.0322 0.00146 0.27 0.139 107.992 205013 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3484" "Arctic Monkeys" "I Bet You Look Good On The Dancefloor" "Whatever People Say I Am, That's What I'm Not" 0.535 0.948 -4.19 0.0356 0.00225 0 0.376 103.183 173680 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3485" "Jamie T" "Sticks 'N' Stones" "Kings & Queens" 0.545 0.851 -3.569 0.0935 0.0572 0 0.403 179.947 240832 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3486" "Troye Sivan" "Revelation" "Piece of Mind (2015 Remaster)" 0.304 0.845 -5.632 0.0788 0.189 0.00106 0.344 90.374 409627 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3487" "Two Door Cinema Club" "Talk - Black Devil Disco Club Remix" "Talk (Black Devil Disco Club Remix)" 0.692 0.764 -6.726 0.0359 0.179 0.507 0.27 123.002 275077 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3488" "Broken Back" "One by One - Alle Farben Remix" "Good Days" 0.838 0.846 -5.411 0.0347 0.184 1.64e-05 0.0764 102 158107 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3489" "Gloria Estefan" "Volverás" "Mi Tierra" 0.544 0.371 -9.286 0.0499 0.739 0 0.277 89.739 232906 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3490" "Klô Pelgag" "La fonte" "Notre-Dame-des-Sept-Douleurs" 0.394 0.179 -14.184 0.0357 0.952 0.0539 0.0984 111.84 148653 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3491" "Nick Jonas" "Wilderness" "Nick Jonas" 0.753 0.831 -4.593 0.0353 0.353 0 0.0768 95.054 225293 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3492" "DANGERDOOM" "Old School Rules" "THE MOUSE & THE MASK" 0.62 0.936 -4.906 0.247 0.0784 0 0.387 98.054 160427 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3493" "Leonard Cohen" "Hallelujah" "Various Positions" 0.28 0.344 -12.577 0.0293 0.715 0.00642 0.133 171.143 277160 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3494" "Twenty One Pilots" "Can't Help Falling in Love" "Holding on to You EP" 0.503 0.268 -6.596 0.041 0.848 0 0.107 119.368 158635 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3495" "Souleance" "La Californie" "La Beat Tape" 0.775 0.756 -5.471 0.104 0.00207 0.714 0.274 89.968 176000 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3496" "Paramore" "The Only Exception - Live at Red Rocks Amphitheatre, Morrison, CO, 8/12/2014" "Paramore (Deluxe Edition)" 0.275 0.632 -5.617 0.0355 0.313 0 0.93 97.357 279465 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3497" "Coast Modern" "Guru" "Coast Modern" 0.76 0.674 -6.425 0.0411 0.231 0.0027 0.0728 140.022 204067 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3498" "Jon Bryant" "Cultivated" "Music for Keeping Dogs Entertained (Trumpet Solo)" 0.601 0.187 -16.252 0.0645 0.971 0.692 0.0717 142.491 127617 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3499" "Vampire Weekend" "A-Punk" "Vampire Weekend" 0.551 0.819 -4.489 0.0525 0.0103 0.0437 0.153 174.917 137760 4 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0
"3500" "The xx" "On Hold" "I See You" 0.723 0.669 -6.784 0.0348 0.0522 0.183 0.109 125.053 224133 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3501" "The Hunna" "She's Casual" "100" 0.435 0.589 -6.968 0.0573 0.0129 0 0.101 129.962 183760 4 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"3502" "Catie Turner" "God Must Hate Me" "God Must Hate Me" 0.459 0.304 -10.107 0.136 0.967 1.95e-05 0.0951 76.954 149803 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3503" "Crumb" "Ghostride" "Jinx" 0.665 0.351 -9.424 0.0276 0.516 0.819 0.109 87.057 126120 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3504" "Devendra Banhart" "Carmensita" "Smokey Rolls Down Thunder Canyon" 0.593 0.677 -10.522 0.0503 0.598 0.151 0.112 124.668 289293 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3505" "Luke De-Sciscio" "Dream State" "Dream State" 0.655 0.265 -9.075 0.0446 0.933 7.79e-05 0.196 115.096 207000 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3506" "The Cranberries" "Linger" "Everybody Else Is Doing It, So Why Can't We?" 0.439 0.434 -14.918 0.0265 0.0783 4.87e-05 0.14 94.845 274707 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3507" "White Denim" "Just Dropped In (To See What Condition My Condition Is In)" "Fargo Year 2 (Songs from the Original MGM / FXP Television Series)" 0.764 0.744 -8.52 0.0327 0.195 0.000198 0.123 121.159 250293 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3508" "Dire Straits" "Money For Nothing - Edit" "Sultans Of Swing - The Very Best Of Dire Straits" 0.679 0.676 -9.734 0.0371 0.0777 1.38e-05 0.0938 134.238 246840 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3509" "The Whitest Boy Alive" "Dead End" "Them Crooked Vultures" 0.343 0.963 -3.354 0.106 0.00338 0.0136 0.72 151.496 195532 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3510" "Langhorne Slim" "Money Road Shuffle" "Lost At Last Vol. 1" 0.381 0.43 -14.825 0.0662 0.994 0.906 0.136 201.752 45200 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3511" "Keanan Field Group" "I Loves You, Porgy" "I Loves You, Porgy" 0.561 0.0579 -22.358 0.0358 0.972 0.931 0.11 103.85 210292 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3512" "Glass Animals" "I Don't Wanna Talk (I Just Wanna Dance)" "Dreamland (+ Bonus Levels)" 0.703 0.624 -6.228 0.0364 0.0156 5.53e-05 0.299 131.966 195191 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3513" "Mumford & Sons" "Woman" "Delta" 0.592 0.555 -10.499 0.0381 0.662 0.452 0.111 156.957 274553 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3514" "Art vs Science" "Enter Sandman - triple j Like a Version" "Enter Sandman (triple j Like a Version)" 0.493 0.691 -6.218 0.0262 0.000649 0.014 0.0873 98.376 258929 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3515" "Good Charlotte" "Wondering" "The Young and The Hopeless" 0.625 0.766 -4.776 0.0307 0.00066 0 0.254 113.312 212200 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3516" "The Script" "You Won't Feel a Thing" "Science & Faith" 0.487 0.871 -3.263 0.0315 0.00868 0 0.294 141.048 273093 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3517" "Ancient Astronauts" "Surfing the Silvatide" "We Are to Answer" 0.673 0.767 -6.439 0.0469 0.109 2.55e-06 0.337 124.93 259147 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3518" "Paramore" "Let the Flames Begin" "Riot!" 0.514 0.92 -3.541 0.0385 0.000202 0.0185 0.25 161 198226 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3519" "Plàsi" "One Last Night" "Fifty Shades Of Grey (Original Motion Picture Soundtrack)" 0.44 0.61 -7.556 0.0285 0.218 0.0189 0.15 179.905 199893 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3520" "Frédéric Chopin" "Two Waltzes, Op. 69 (posth.): Waltz No. 1 in A-Flat Major" "Chopin: Waltzes" 0.32 0.0142 -30.155 0.0382 0.995 0.865 0.102 72.037 207173 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3521" "ALO" "Cowboys And Chorus Girls" "Sounds Like This" 0.673 0.712 -8.678 0.0682 0.258 0.249 0.125 115.038 465147 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3522" "Giuseppe Verdi" "Aida (1997 Digital Remaster): Nume, custode e vindice" "Aida - Verdi" 0.155 0.191 -15.157 0.0359 0.979 0.0308 0.107 78.914 232093 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3523" "Steve Jablonsky" "Tessa" "Transformers: Age of Extinction (Music from the Motion Picture) - EP" 0.204 0.268 -14.946 0.0368 0.861 0.794 0.07 120.038 345467 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3524" "La Femme" "Tu t'en lasses" "Paradigmes" 0.589 0.559 -10.867 0.028 0.474 0.482 0.0781 80.008 362013 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3525" "Stoop Kids" "Tucked In" "Already Out of Time" 0.69 0.703 -5.278 0.136 0.00812 0 0.159 91.988 163924 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3526" "MEDUZA" "Piece Of Your Heart" "Piece Of Your Heart" 0.677 0.744 -6.806 0.0295 0.0404 0.00016 0.074 124.08 152913 4 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"3527" "Strand of Oaks" "Sunbathers" "In Heaven" 0.455 0.902 -4.062 0.0355 0.0455 0.0091 0.128 98.007 219492 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3528" "Blanco White" "Olalla" "On the Other Side" 0.573 0.406 -11.946 0.0361 0.653 0.475 0.123 130.021 248160 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3529" "Cassia" "Not Enough Time to Think - Edit" "Not Enough Time to Think (Edit)" 0.695 0.753 -7.626 0.0645 0.598 0.000972 0.163 89.979 212893 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3530" "Giuseppe Verdi" "Aida (1997 - Remaster): Su! del Nilo al sacro lido" "Aida - Verdi" 0.363 0.336 -11.13 0.0395 0.982 0.0155 0.683 98.016 176827 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"3531" "Ed Sheeran" "Bad Habits" "=" 0.807 0.893 -3.745 0.0347 0.0451 2.79e-05 0.366 126.011 230747 4 1 0 1 1 0 1 1 0 0 1 0 1 0 0 0
