Artist,Track,Album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,tempo,length,time_signature,A,B,C,D,AnB,AnC,AnD,BnC,BnD,CnD,AnBnC,AnBnD,AnCnD,BnCnD,AnBnCnD
Robot Koch,Glow - Foam and Sand Rework,Glow (Foam and Sand Rework),0.144,0.25,-17.1,0.0373,0.879,0.89,0.0854,88.913,255483,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Less Than Jake,Johnny Quest Thinks We're Sellouts,Losing Streak,0.42,0.921,-4.165,0.049,0.00105,0.000726,0.147,140.521,169107,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lonely Island,Jizz In My Pants,Incredibad,0.641,0.87,-7.175,0.213,0.000468,1.4e-05,0.618,122.016,151346,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neal Francis,"Changes, Pts. 1 & 2",Changes,0.581,0.77,-7.245,0.0515,0.0187,0.405,0.0725,103.426,390200,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isotopic Dreams,Memory Training Gamma,Binaural Brainwaves Gamma,0.25,0.00664,-36.729,0.0464,0.99,0.883,0.111,144.419,198691,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Massive Attack,Paradise Circus,Heligoland,0.81,0.591,-13.385,0.0638,0.414,0.799,0.072,136.028,297775,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aukai,Rekindle,Game Trails,0.553,0.323,-14.361,0.033,0.962,0.97,0.114,109.999,290893,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
George Ezra,Paradise,Staying at Tamara's,0.642,0.881,-3.537,0.0393,0.209,0.0,0.21,138.03,222045,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vulfpeck,Lonely Town,Hill Climber,0.908,0.644,-7.964,0.0429,0.0667,3.24e-06,0.123,100.401,174614,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huey Lewis & The News,The Power Of Love,Greatest Hits: Huey Lewis And The News,0.768,0.829,-5.109,0.0313,0.0964,2.92e-05,0.097,118.773,234333,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jules Ahoi,Robinson Crusoe,Between Lines,0.566,0.475,-10.614,0.0459,0.859,0.0,0.107,141.865,281567,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Sital-Singh,Hunger,High As Hope,0.729,0.675,-5.62,0.0415,0.53,0.0,0.0985,116.016,214667,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Jon Spencer Blues Explosion,Bellbottoms,Orange,0.311,0.882,-3.26,0.215,0.00895,0.205,0.253,162.189,317987,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro y Moi,Lilly,What For?,0.472,0.653,-6.484,0.0338,0.0435,0.075,0.299,139.887,267789,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALK THE MOON,Different Colors,TALKING IS HARD,0.48,0.826,-4.602,0.0397,0.000797,1.01e-06,0.125,96.0,222053,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Leyland Moore,Traces,Traces,0.424,0.0577,-25.12,0.0428,0.991,0.902,0.13,114.351,193916,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Womack,Fly Me To The Moon (In Other Words),Fly Me To The Moon,0.589,0.523,-11.12,0.0404,0.397,0.0217,0.0967,114.252,128360,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dire Straits,Walk Of Life,Brothers In Arms - 20th Anniversary Edition,0.437,0.965,-4.448,0.136,0.326,0.00028,0.144,172.428,248893,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palace,Veins,Veins,0.429,0.273,-9.719,0.0287,0.349,0.0384,0.111,110.161,269975,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregory Alan Isakov,Virginia May,This Empty Northern Hemisphere,0.542,0.318,-12.797,0.0369,0.826,4.07e-05,0.106,88.881,178347,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CRO,Einmal um die Welt,Raop,0.726,0.9,-4.134,0.0401,0.133,0.0,0.145,160.128,142463,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub Urban,PARAMOUR (feat. AURORA),PARAMOUR (feat. AURORA),0.716,0.465,-7.818,0.236,0.553,1.14e-06,0.771,165.836,168434,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Kinks,Sunny Afternoon - Mono Mix,Face to Face (Deluxe Edition),0.595,0.462,-8.414,0.0259,0.102,0.0,0.0641,124.991,210525,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Mournier,Pour tous les cœurs du monde,Pour tous les cœurs du monde,0.258,0.0356,-23.568,0.0408,0.995,0.904,0.109,68.714,129369,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Naturalis,Solutions (Gamma Waves),The Deepest Dream (Binaural Beats),0.0731,0.00206,-35.548,0.0845,0.683,0.943,0.109,174.679,166400,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Taylor,Honest,DEFinitely Pop Vol. 2,0.81,0.655,-6.779,0.0698,0.127,8.16e-05,0.105,150.002,193322,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Elley Duhé,MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,0.41,0.611,-8.271,0.0467,0.0228,0.0,0.116,185.727,184448,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LÉON,Wishful Thinking,Circles,0.526,0.467,-7.85,0.0243,0.563,1.59e-06,0.108,80.018,243203,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharon Van Etten,Every Time the Sun Comes Up,Are We There,0.663,0.522,-8.741,0.0374,0.392,5.41e-06,0.197,99.759,262520,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fischerspooner,Never Win,Odyssey,0.801,0.544,-5.858,0.0363,0.000738,0.000363,0.0596,112.009,239640,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linkin Park,CASTLE OF GLASS,LIVING THINGS,0.615,0.911,-3.584,0.0278,0.0686,0.00188,0.0908,108.0,205400,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paramore,Ain't It Fun,Paramore,0.61,0.893,-3.681,0.0921,0.154,4.41e-05,0.021,104.031,296520,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SoMo,Make Up Sex,My Life II,0.716,0.573,-5.277,0.0343,0.146,0.0,0.205,110.009,222853,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
David Sylvian,The Only Daughter,A Victim Of Stars 1982-2012,0.282,0.0269,-22.8,0.0443,0.975,0.00216,0.0995,180.847,330266,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Freya Ridings,Unconditional,Freya Ridings,0.403,0.214,-7.778,0.0366,0.921,0.0,0.314,119.456,197333,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sufjan Stevens,Mystery of Love,Mystery of Love,0.365,0.273,-16.526,0.038,0.94,0.431,0.109,132.285,248960,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beyoncé,MOOD 4 EVA (feat. Oumou Sangaré),The Lion King: The Gift,0.608,0.709,-6.175,0.374,0.119,0.0,0.337,105.742,272069,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alligatoah,Stay in Touch,Rotz & Wasser,0.719,0.519,-6.525,0.0483,0.267,0.0,0.129,119.989,219880,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Crying Day Care Choir,Spill My Words,Falling Rising,0.751,0.74,-5.477,0.0788,0.51,0.000956,0.237,139.072,160307,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mick Jenkins,Jazz,The Water (S),0.636,0.61,-9.665,0.119,0.25,0.000121,0.113,125.227,260160,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Suicide Machines,New Girl,Destruction By Definition,0.466,0.96,-3.888,0.0543,0.000481,0.0,0.37,104.753,123000,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lone Bellow,Feather,Purgatory,0.536,0.574,-6.705,0.0254,0.75,0.00277,0.105,87.194,224947,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Birdy,Skinny Love,Birdy,0.379,0.29,-8.485,0.051,0.952,0.00106,0.118,166.467,201080,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Applepie,Bite Your Lips,Two Suns,0.582,0.817,-6.359,0.0465,0.000326,0.846,0.287,94.008,166144,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'aupaire,Flamenco,Kind Of Blue (Legacy Edition),0.348,0.0219,-21.065,0.0427,0.899,0.112,0.0906,178.698,566133,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moby,Natural Blues,Play,0.679,0.65,-7.902,0.0331,0.0487,0.0502,0.269,107.992,253773,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnnenMayKantereit,Warte auf mich [Padaschdi],12,0.663,0.59,-10.634,0.0408,0.145,0.0154,0.0876,121.967,166035,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon City,OK,Ok Love You Bye,0.766,0.547,-7.605,0.0561,0.389,1.13e-05,0.0919,103.898,154387,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Collier,The Sun Is In Your Eyes - Voice Memo,The Sun Is In Your Eyes (Voice Memo),0.531,0.192,-11.786,0.0393,0.864,0.00133,0.126,73.337,111875,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Thane Oliverson,All The Way,All The Way Up (feat. French Montana & Infared) - Single,0.536,0.721,-6.44,0.386,0.062,0.0,0.824,117.139,191942,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Rea,Driving Home for Christmas,The Works,0.497,0.661,-9.047,0.0361,0.328,0.000317,0.211,180.225,240213,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khruangbin,People Everywhere (Still Alive),The Universe Smiles Upon You,0.551,0.648,-13.088,0.0627,0.043,0.655,0.41,109.209,159013,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fujiya & Miyagi,Sixteen Shades of Black & Blue,Ventriloquizzing,0.758,0.617,-6.504,0.0307,0.117,0.937,0.108,109.027,209944,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Zappa,Uncle Remus,Apostrophe('),0.484,0.66,-11.163,0.0358,0.034,0.0812,0.0893,78.591,169600,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Voyou,Seul sur ton tandem,Les bruits de la ville,0.682,0.68,-7.537,0.0451,0.159,4.19e-05,0.0826,144.001,231493,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta Heavy,White Flag,White Flag,0.414,0.889,-2.147,0.0507,0.00191,0.0191,0.112,174.042,271544,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eliza and the Bear,Make It On My Own,Eliza And The Bear,0.614,0.781,-5.718,0.027,0.0561,0.00189,0.106,158.11,203950,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucy Rose,Shiver,Like I Used To,0.463,0.192,-13.229,0.0338,0.706,8.46e-05,0.105,122.631,233013,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Balmorhea,Settler,"All Is Wild, All Is Silent",0.274,0.425,-11.647,0.0356,0.172,0.501,0.0602,154.104,399267,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakira,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",0.778,0.824,-5.892,0.0707,0.284,0.0,0.405,100.024,218093,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Fisherman’s Friends,Haul Away Joe,Port Isaac's Fisherman's Friends (Special Edition),0.692,0.4,-7.251,0.0345,0.906,0.0,0.14,62.485,133693,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fondur,The Meaning,The Meaning,0.448,0.0693,-17.996,0.0329,0.694,0.9,0.112,70.084,198172,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Michiel Schrey,Fish in the Sea,Assassin's Creed 4: Black Flag (Sea Shanty Edition) [Original Game Soundtrack],0.841,0.508,-6.366,0.0592,0.908,0.0,0.399,101.854,89253,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Devil,Drinking Song for the Socially Anxious,Ruin,0.654,0.265,-14.453,0.389,0.659,3.08e-06,0.257,146.048,336733,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yxngxr1,PIGEONS,Digikid 2,0.814,0.54,-9.66,0.321,0.617,0.0,0.173,160.039,121458,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Arcade Fire,Here Comes the Night Time,Reflektor,0.446,0.675,-7.802,0.0464,0.038,0.43,0.372,95.014,390490,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fleet Foxes,Can I Believe You,Shore,0.514,0.755,-8.455,0.03,0.354,0.0664,0.144,77.415,244187,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noah Kahan,Hollow,I Was / I Am,0.604,0.703,-7.124,0.0357,0.0591,1.95e-05,0.126,143.047,272272,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Billie Eilish,Billie Bossa Nova,Happier Than Ever,0.895,0.389,-11.036,0.11,0.222,0.0346,0.105,110.023,196731,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor Swift,Love Story,Fearless (International Version),0.62,0.639,-5.398,0.0285,0.0186,0.00011,0.206,119.055,233933,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Broken Back,Young Souls,"Dear Misfortune, Mother of Joy - EP",0.702,0.606,-10.285,0.0443,0.416,0.0,0.145,99.95,219373,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Yael Naim,A Part of Us,Mon Bébé (Original Motion Picture Soundtrack),0.626,0.327,-12.83,0.0346,0.84,1.11e-05,0.101,82.033,332613,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Methyl Ethel,Twilight Driving,Oh Inhuman Spectacle,0.599,0.747,-6.502,0.0297,0.124,0.0126,0.365,124.035,239357,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Imagine Dragons,Demons - TELYKast Remix,Demons (TELYKast Remix),0.674,0.726,-6.472,0.0528,0.057,0.0,0.268,124.04,176129,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Five Stairsteps,O-o-h Child,The First Family of Soul: The Best of The Five Stairsteps,0.488,0.754,-7.95,0.0381,0.00154,2.42e-05,0.678,88.368,197160,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearts Hearts,Ikarus (I Feel a Change),Ikarus (I Feel a Change),0.631,0.86,-5.537,0.086,0.0941,9.1e-05,0.0954,170.048,189070,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The War On Drugs,I Don't Live Here Anymore (feat. Lucius),I Don’t Live Here Anymore,0.476,0.867,-3.982,0.037,0.00327,3.42e-06,0.0962,110.026,327547,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maribou State,Midas,Portraits,0.697,0.578,-5.213,0.095,0.393,0.379,0.106,114.995,218358,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Lucy Spraggan,Lucky Stars,Today Was a Good Day,0.683,0.667,-4.877,0.0521,0.114,0.0,0.134,105.015,202347,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SYML,Clean Eyes,SYML,0.466,0.844,-3.777,0.0495,0.00104,0.00257,0.158,174.17,184093,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings Go Forth,High on Your Love,The Outsiders Are Back,0.588,0.701,-3.208,0.0364,0.0142,4.83e-05,0.179,79.577,253653,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Ezra,Anyone For You (Tiger Lily),Anyone For You (Tiger Lily),0.662,0.807,-3.285,0.0411,0.293,3.55e-06,0.189,103.031,187682,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
SYML,Sweet Home,Sweet Home,0.535,0.397,-11.158,0.0264,0.677,0.0033,0.129,77.971,248533,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan,You're Not Harry Styles,No Romeo EP,0.553,0.767,-4.557,0.0741,0.00681,2.95e-06,0.0903,165.059,176530,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dario Marianelli,"Liz On Top Of The World - From ""Pride & Prejudice"" Soundtrack",Pride and Prejudice - OST,0.217,0.117,-21.398,0.0374,0.975,0.911,0.0573,46.755,82773,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Rosenthal,Tractor,Tractor,0.414,0.226,-13.614,0.0378,0.893,0.00125,0.15,80.588,206360,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cat Empire,Ready Now,Stolen Diamonds,0.621,0.816,-5.007,0.0409,0.0297,0.0949,0.324,85.023,194693,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dermot Kennedy,An Evening I Will Not Forget,Without Fear,0.624,0.549,-8.637,0.0655,0.224,5.03e-06,0.165,121.903,245924,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The 1975,Happiness,Happiness,0.666,0.909,-5.029,0.039,0.0438,0.108,0.219,118.007,303903,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke Ellington,"Take The ""A"" Train",Jazz Profiles,0.5,0.284,-15.59,0.0404,0.272,0.0432,0.12,93.724,332640,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M83,My Tears Are Becoming a Sea,"Hurry up, We're Dreaming",0.162,0.353,-11.286,0.0509,0.0993,0.274,0.575,110.76,151827,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Floyd,Comfortably Numb - 2011 Remastered Version,The Wall (Remastered),0.479,0.309,-14.751,0.0299,0.153,0.22,0.134,127.155,379213,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thin Lizzy,Dancing In The Moonlight (It's Caught Me In It's Spotlight),Bad Reputation (Expanded Edition),0.671,0.461,-13.874,0.13,0.00755,0.0,0.103,145.187,204653,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAYLE,abcdefu (angrier),abcdefu (angrier),0.671,0.599,-6.18,0.0405,0.0658,0.0,0.101,121.849,159836,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shouse,Love Tonight - Edit,Love Tonight,0.727,0.681,-7.114,0.0265,0.00214,0.000307,0.0861,123.028,241970,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Temples,Paraphernalia,Paraphernalia,0.497,0.865,-4.161,0.0468,0.00661,0.000313,0.343,113.992,263453,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Benny Sings,Not Enough,City Pop,0.941,0.46,-10.775,0.0711,0.434,0.0555,0.0599,101.839,178680,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modest Mouse,Little Motel,We Were Dead Before The Ship Even Sank,0.616,0.462,-9.135,0.0271,0.279,0.00473,0.153,101.983,284187,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bon Iver,Beth/Rest - AIR Studios – 4AD/Jagjaguwar Session,Beth/Rest (AIR Studios – 4AD/Jagjaguwar Session),0.514,0.136,-15.128,0.0568,0.981,0.0646,0.337,66.133,404435,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thayne Jasperson,Farmer Refuted,Hamilton (Original Broadway Cast Recording),0.795,0.409,-8.334,0.372,0.684,0.0,0.0548,77.879,112742,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Juke Ross,Morning Breeze,GREY,0.636,0.383,-9.381,0.0434,0.585,2.24e-06,0.122,72.871,194067,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sjowgren,Better Off,Who Needs Guitars Anyway?,0.671,0.88,-6.149,0.0552,0.00181,0.691,0.285,136.953,214883,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Ezra,Angry Hill,Did You Hear the Rain?,0.521,0.117,-21.031,0.0306,0.724,0.0,0.953,90.054,250880,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lola Young,Together In Electric Dreams - From The John Lewis Christmas Advert 2021,Together In Electric Dreams (From The John Lewis Christmas Advert 2021),0.333,0.137,-12.938,0.0344,0.921,0.00103,0.131,124.673,201925,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Beach Bunny,Entropy,Entropy,0.446,0.878,-5.826,0.0523,0.00371,0.00114,0.231,181.968,221000,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lana Del Rey,Cinnamon Girl,Norman Fucking Rockwell!,0.294,0.337,-10.614,0.036,0.814,0.414,0.14,91.781,300683,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Desmond Dekker,007 (Shanty Town),007 Shanty Town,0.831,0.65,-4.508,0.0601,0.155,0.262,0.105,101.681,152867,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Fender,Seventeen Going Under - Edit,Seventeen Going Under,0.502,0.86,-4.637,0.0346,0.0199,0.000787,0.0902,161.99,237280,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grace VanderWaal,Burned,Just The Beginning,0.586,0.449,-7.729,0.0277,0.653,0.0,0.0681,95.04,191533,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eli Smart,Highschool Steady,Boonie Town,0.612,0.893,-5.546,0.0957,0.298,0.022,0.247,111.979,259797,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Supersci,All Year Next Year,Pinetrees On The Pavement,0.683,0.862,-3.013,0.123,0.00874,0.0,0.679,95.964,245640,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bumcello,Everyday,AT.LONG.LAST.A$AP,0.394,0.661,-8.684,0.192,0.00996,0.0,0.343,149.818,260987,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Basement Beats,Far from Home,The Journey,0.697,0.69,-6.357,0.044,0.151,0.0,0.0582,96.039,195508,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Rise Against,Help Is On The Way,Endgame,0.336,0.951,-3.587,0.0707,0.000123,0.00108,0.0333,108.043,237480,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Calming Beats,Beta Waves 110Hz - 130Hz,α&β,0.163,0.024,-32.207,0.0428,0.925,0.793,0.107,130.992,160000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
El Profesor,Bella Ciao - HUGEL Remix,Bella Ciao (HUGEL Remix),0.842,0.488,-7.856,0.0844,0.218,0.00718,0.0877,126.019,164955,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morrissey,Suedehead - 2011 Remaster,Viva Hate (2011 Remaster),0.529,0.989,-4.5,0.042,0.00126,0.00148,0.0567,142.29,235520,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boy & Bear,Telescope,Boy & Bear at Golden Retriever Studio,0.608,0.392,-9.355,0.0262,0.699,0.0116,0.117,98.63,187187,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Houghten,Spiderweb,Three Seeds,0.708,0.649,-11.611,0.038,0.384,0.93,0.079,99.682,164375,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Proclaimers,Throw the 'R' Away - 2011 Remaster,The Very Best Of,0.434,0.748,-6.277,0.0366,0.646,0.0,0.111,167.896,165493,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloria Gaynor,I Will Survive - Extended Version,Love Tracks (Deluxe Edition),0.777,0.736,-10.082,0.037,0.00755,0.0136,0.302,116.375,481813,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Bay,If You Ever Want To Be In Love,Chaos And The Calm,0.684,0.837,-5.46,0.0307,0.0276,2.98e-05,0.0627,115.94,238973,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwa Sa,TWIT,TWIT,0.679,0.813,-3.367,0.199,0.122,2.83e-06,0.263,136.067,190786,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Collier,Moon River,Djesse Vol. 2,0.144,0.154,-12.596,0.0302,0.97,0.0284,0.103,85.391,496880,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jóhann Jóhannsson,A Model of the Universe,The Theory of Everything (Original Motion Picture Soundtrack),0.336,0.044,-29.255,0.0456,0.982,0.96,0.221,90.243,172444,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DANGERDOOM,Mince Meat,THE MOUSE & THE MASK,0.812,0.485,-8.709,0.291,0.19,0.000149,0.211,98.946,152933,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Satie,"Uspud, Act III (Version for Piano): No. 44, Defile de saints et saintes","Satie: Esoteric Works, Vol. 2 – Vexations, Uspud, Messe des pauvres",0.648,0.00021,-38.82,0.664,0.983,0.912,0.0657,133.449,46507,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lil Nas X,Rodeo,7 EP,0.706,0.679,-5.614,0.0324,0.139,6.98e-05,0.465,140.081,158707,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Avi Kaplan,All Is Well [Feat. Joy Williams],All Is Well Feat. Joy Williams,0.38,0.23,-13.624,0.0327,0.852,0.0182,0.153,167.532,177720,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Julia Stone,Sixty Summers,Sixty Summers,0.485,0.774,-4.869,0.156,0.336,0.0966,0.351,158.146,199395,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vulfpeck,3 on E,"The Joy of Music, The Job of Real Estate",0.782,0.825,-8.605,0.0436,0.0428,0.378,0.1,98.273,177792,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Beaujean,Night Light,Night Light,0.519,0.0348,-25.859,0.0385,0.994,0.914,0.113,98.795,129123,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Sinatra,Santa Claus Is Coming To Town,Christmas Songs by Sinatra,0.646,0.204,-11.957,0.0565,0.826,0.0,0.312,140.281,154640,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mighty Oaks,Like An Eagle,Driftwood Seat - EP,0.557,0.513,-10.477,0.0331,0.337,0.24,0.113,81.762,249627,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Quarteto Jobim-Morelenbaum,Água de Beber,Quarteto Jobim Morelenbaum,0.781,0.477,-9.463,0.0818,0.776,0.0346,0.0954,150.147,156502,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Heather Nova,Virus Of The Mind,South,0.599,0.74,-5.568,0.0261,0.0196,0.0,0.17,89.924,252760,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaban,Sie mögen sich,Die Zähmung der Hydra,0.854,0.774,-5.969,0.179,0.199,0.0,0.0738,113.978,412587,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gwen Stefani,The Sweet Escape,The Sweet Escape,0.756,0.77,-3.502,0.0343,0.191,0.0,0.178,119.961,246467,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Don McLean,American Pie,American Pie,0.531,0.481,-11.709,0.06,0.699,0.0,0.0842,138.45,516893,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
